Team,Opponent,REG,W/L,Score,Spread W/L,Spread,O/U W/L,O/U,Home/Away
Pennsylvania, Brown,REG,W,76-68,W,-1,O,136,0
San Jose State, Oakland,REG,W,80-67,W,-1,O,139.5,0
Siena, Holy Cross,REG,W,75-68,W,-1,O,134.5,0
Southern Illinois, Murray State,REG,W,63-57,W,-1,U,133.5,0
Southern Illinois, Drake,REG,W,53-49,W,-1,U,126.5,1
St. Thomas (MN), Idaho State,REG,W,76-70,W,-1,O,135.5,0
Troy, Texas State,REG,W,55-52,W,-1,U,132.5,0
UIC, Western Michigan,REG,W,62-56,W,-1,U,141,0
UIC, Illinois State,REG,W,55-51,W,-1,U,137.5,1
UMBC, Lafayette,REG,W,71-63,W,-1,U,138.5,1
UTEP, New Mexico State,REG,W,67-64,W,-1,U,135.5,1
UTSA, Prairie View A&M,REG,W,82-75,W,-1,O,139,1
Washington State, USC,REG,W,81-71,W,-1,O,132.5,1
Western Kentucky, Tulane,REG,W,71-65,W,-1,U,140,0
Winthrop, Eastern Michigan,REG,W,101-87,W,-1,O,150.5,1
Alabama A&M, North Alabama,REG,L,84-76,L,0,O,137.5,1
Ball State, San Jose State,REG,L,67-65,L,0,U,134,0
Grand Canyon, Wichita State,REG,L,55-43,L,0,U,125,0
Indiana State, Duquesne,REG,L,92-86,L,0,O,147.5,0
Kennesaw State, Campbell,REG,L,85-61,L,0,O,130.5,0
Lehigh, Maryland-Eastern Shore,REG,L,64-60,L,0,U,144,0
Marquette, Providence,REG,L,103-98,L,0,O,149.5,0
Montana State, UNC Greensboro,REG,L,77-66,L,0,O,127,0
North Carolina, Virginia Tech,REG,L,80-72,L,0,O,141.5,0
North Dakota State, Northern Colorado,REG,L,80-70,L,0,U,155.5,0
PFW, Southern Mississippi,REG,L,70-58,L,0,U,137.5,0
Sacred Heart, Stony Brook,REG,L,71-64,L,0,U,144,0
Seton Hall, Iowa,REG,L,83-67,L,0,U,151.5,1
South Carolina, Colorado State,REG,L,85-53,L,0,O,133,1
UMass, St. Bonaventure,REG,L,83-64,L,0,O,135,0
