Team ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,Off. Rebounds ,Turnovers ,Def. Rebounds ,Steals ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,
Cal Baptist,66.6,64,68.88,40.93,63.84,8.13,32.36,13.47,11.47,12,26.53,4.33,64.13,67.29,61.38,42.4,73.08,5.53,29.33,10.87,
Cal Poly,62.57,52,70.5,42.7,75,5.43,30.04,9.43,8.93,14,24.79,6,63.5,65.67,61.88,41.87,70.04,6.71,31.54,11.21,
Cal State-Bakersfield,60.85,56.38,68,40.58,73.47,4.38,32.95,10.92,11.62,12.69,24.38,5.69,61.54,64.5,56.8,39.67,66.55,7.31,33.33,11.15,
Cal State-Fullerton,68.14,62.86,73.43,41.5,66.42,8,36.72,11.21,11.29,12.5,24.29,5.93,66.07,72.86,59.29,41.96,71.59,6.71,31.23,11.14,
Cal State-Northridge,67.54,58.5,82,42.31,71.43,6.15,32.39,10.69,11.23,11.38,25.46,6,66.08,67.25,64.2,39.71,76.76,6.85,30.9,10.62,
California,59.47,60,59.27,41.35,74.44,4.33,27.66,9.4,8.4,14.33,23.47,4.53,66.4,68.75,65.55,43.54,73.46,6.07,30.23,12.53,
Campbell,68.43,65,71,46.17,70.11,6.57,32.74,12.79,7.93,13.29,23.57,7.5,68.5,69.67,67.63,46.24,69.83,7.79,35.16,12.71,
Canisius,69,68.86,69.2,39.3,69.88,8.83,32.62,14.17,13.17,13.42,22.33,5.25,78.25,82.71,72,49.09,72.38,6.92,39.34,14.92,
Central Arkansas,73.27,68.5,78.71,40.97,72.6,8.8,31.96,12.13,12.4,14.8,26.2,6.07,80.6,88.38,71.71,46.51,68.83,7.8,34.93,15.2,
Central Connecticut State,64.56,66.6,61.17,41.6,70.83,7.63,33.42,12.38,9.19,12.5,23.13,7.19,71.81,78.4,60.83,46.38,74.4,8.06,36.24,15.63,
Central Florida,69.5,64.67,70.82,42.96,73.3,8.21,35.49,13.36,12.71,13.86,24.36,7.07,60.43,60.67,60.36,38.76,70.23,6.79,30.45,11.21,
Central Michigan,68.93,63,73.38,42.23,71.8,6,27.63,11.5,11.93,15.29,25.93,6.07,69,75.33,64.25,41.55,64.26,7.5,30.17,13.29,
Charleston Southern,72,67.86,77.8,41.98,75.24,8.08,32.33,12.17,13,12.42,23.42,4.75,76.92,81.57,70.4,47.38,73.83,8.08,37.89,13.67,
Charlotte,69.64,66.6,71.33,48.45,74.23,7.93,38.14,14.5,7.21,11.07,23.86,6.79,60.57,64.6,58.33,40.81,71.74,8,37.21,10.21,
Chattanooga,79.6,74.25,85.71,46.29,71.07,12.33,39.11,16.87,10.6,12.6,27.93,6.07,68,71.5,64,40.83,78.53,7.87,32.87,12.2,
Chicago State,64.76,62,77.67,40.21,74.11,7.06,31.33,10.53,11.47,14.53,22.71,5.47,73.53,75.5,64.33,45.54,70.22,6.59,32.94,13.82,
Cincinnati,79.6,68.33,82.42,46.43,68.82,8.6,34.77,15.33,10.87,10.6,25.8,6.93,69.2,78.33,66.92,42.6,76.38,6.4,32.54,13.47,
Clemson,75.93,69.4,79.56,47.16,78.35,8.43,38.82,15.86,7.57,11,27.07,5.5,66.29,63.6,67.78,40.03,73.58,7.79,31.96,10.79,
Cleveland State,67.47,61.5,74.29,44.19,68.16,5.13,29.39,12.93,11.53,10.67,22.67,6.67,65,65.75,64.14,41.31,70.75,6.8,30.45,12.27,
Coastal Carolina,77.38,72.6,80.38,46.23,78.57,6.38,31.44,13.46,11.69,12.85,26.92,7.15,68.15,81.2,60,40.15,71.52,8.92,33.82,13,
Colgate,80.47,79.7,82,51.29,70.14,9.33,41.54,17.6,8.53,11.4,24.67,6.67,72.8,71.7,75,48.06,66.15,8.07,37.93,14.07,
College of Charleston,80.47,78.2,81.6,44.42,74.43,10.13,33.7,13,13.4,13.4,26,7.4,70.47,72.8,69.3,44.63,67.09,6.67,34.25,11.93,
Colorado,76.13,73.13,79.57,45.88,65.2,6.87,32.49,14,11.67,13.2,26.6,8.27,69.93,72.63,66.86,42.55,70.77,7.07,34.53,10.47,
Colorado State,75.33,69,78.5,49.46,72.03,8,36.7,17.67,5.27,10.2,25.53,6.8,69.8,73.6,67.9,43.72,70.51,9.6,38.1,11.13,
Columbia,68,61.29,73.88,40.75,69.92,8,33.8,12.27,11.33,14.73,25.4,7.27,69.07,73.14,65.5,43.17,65.53,7.8,32.68,15.4,
Connecticut,82.27,76.2,85.3,47.58,74.75,9.87,36.54,19.07,11.8,12.67,27.2,7.73,60.73,61.8,60.2,39.44,72.64,3.73,26.79,8.07,
Coppin State,74.41,71.43,88.33,44.19,71.64,8.59,33.26,10.71,6.59,14.71,24.18,8.18,87.12,88.21,82,47.28,71.39,9.65,34.82,18.47,
Cornell,84,80.63,88.5,48.66,70.41,11.71,36.85,20,11,12.64,25.71,10,71.71,76.75,65,44.57,69.83,7.64,32.72,15.14,
Creighton,77.13,73,79.2,47.19,71.37,9.33,36.27,16.73,8.2,11.87,29.13,5.67,67.47,76.4,63,42.74,69.48,6.2,32.86,12.87,
Dartmouth,68.53,62,78.33,42.58,67.8,8.13,31.2,13.13,8.87,15.6,27.67,5.87,67.93,71.22,63,41.78,71.19,5.93,30.8,10.4,
Davidson,71.57,70.6,72.11,44.12,71.8,6.64,32.86,13.64,8.21,11.5,26.29,5.5,69.79,73.4,67.78,41.94,66.38,6.64,28.88,11.64,
Dayton,67.13,58.83,72.67,45.18,68.98,5.73,30.39,14.33,10.87,13.87,28.8,4.47,58.53,60.5,57.22,37.6,65.63,6.27,26.93,10.2,
Delaware,70.67,67.6,72.2,44.29,70.41,6.73,31.27,12.47,9.13,10.93,24.27,6.6,70.73,76.2,68,45.31,71.62,7.33,36.79,14.2,
Delaware State,61.38,58.33,68.25,41.1,66.27,5.69,33.79,11.85,10.46,16,23,6.46,75.23,78.11,68.75,46.34,68.9,9.62,39.06,15.85,
Denver,75.63,72.63,78.63,50.35,68.81,4.31,33.33,11.31,8.88,15.31,26.5,5.44,74.56,76.63,72.5,45.18,76.62,7.25,30.53,14.19,
DePaul,71.87,62.86,79.75,41.03,79.03,8.73,35.5,13.13,9.93,13.8,23.8,7.13,75.4,72.71,77.75,45.12,68.79,7.4,35.81,13.73,
Detroit,74,70.2,81.6,41.65,74.35,10.13,37.44,11.33,13.07,12.27,23.73,5.73,75.6,80.3,66.2,45.43,77.06,8.67,36.62,13.73,
Dixie State,77.07,70.75,84.29,45.29,70.51,8.47,37.03,14.33,11.07,14,25.33,7.8,69.87,78.25,60.29,45.17,74.52,7.13,32.62,13.67,
Drake,73.47,63.5,80.11,45.63,76.26,7.47,34.04,13.27,8.2,11,27.4,5.93,64,68.67,60.89,40.19,72.08,6.33,29.32,9.47,
Drexel,66.36,58.6,70.67,41.94,67.72,7.79,31.69,11.79,11.79,11.14,24.57,6.21,60.86,60.4,61.11,42.47,69.7,5.5,31.95,10.71,
Duke,73.86,63,79.89,44.38,78.46,7.07,32.46,14.5,13.43,11.71,25.79,6.43,60.86,68,56.89,40.59,77.78,5.36,27.78,11.07,
Duquesne,74.93,64.67,77.5,44.07,68.64,8.67,36.62,15,13.67,11.53,23.73,7.47,70.07,75.33,68.75,43.27,71.43,6.93,35.74,13.27,
East Carolina,71.87,68,74.44,41.98,67.82,8,32.52,13.73,12.6,12.67,25.53,6.67,67.93,69,67.22,42.21,67.94,6.13,31.72,10.93,
East Tennessee State,70.67,61.83,76.56,45.84,65.32,6.27,31.02,13.53,11.67,13.8,24.2,6.73,67.8,64.17,70.22,43.48,72.57,7.53,29.97,12.87,
Eastern Illinois,69.4,63.86,74.25,43.7,62.31,5,30,13.67,9.4,13.8,24.67,9.13,68.73,73.57,64.5,41.42,67.01,8,32.26,13.8,
Eastern Kentucky,81.07,66,91.11,43.4,62.32,10.4,37.14,16.27,13.87,13.33,26.33,10,74.33,78.67,71.44,42.76,73.38,7.93,33.33,14.93,
Eastern Michigan,74.08,75.75,71.4,44.33,74.67,7,35.83,10.08,9,11.31,22.38,6.85,80.77,83.25,76.8,49.4,67.45,8.23,34.41,12.08,
Eastern Washington,73.27,68.33,80.67,45.74,74.29,8.2,33.24,14.4,10.4,14.8,27.47,5.8,69.73,74.22,63,42.17,73.26,8.33,33.33,11.93,
Elon,66.53,61.44,74.17,41.5,69.7,7.07,29.69,12.47,8.73,12.53,24.4,7,73,74.22,71.17,45.3,69.48,8.13,33.06,14.27,
Evansville,62,60.88,63.29,38.7,64.96,5.8,29.49,10.2,9.4,11.87,25.07,6.07,72.33,74,70.43,45.38,76.92,8.6,37.83,14.07,
Fairfield,64.79,61.88,68.67,40.16,70.61,6.43,28.57,9.57,10.36,12.14,24.71,5.5,64.36,67.63,60,43.26,68.53,5.29,31.22,10,
Fairleigh Dickinson,77.88,74.33,82.43,44.5,73.03,8.06,31.85,14.56,12.31,12.38,22.63,8.75,76.56,82.22,69.29,48.08,72.04,8.13,33.94,14.88,
Florida,75.08,68,78.22,45.05,74.9,6.69,34.12,12,8.62,11.54,27.54,6.54,66.69,75.5,62.78,41.15,69.68,6.54,34.98,11.85,
Florida A&M,55.83,53.67,62.33,36.52,68.04,4.67,28.87,8.58,11.08,16.67,21.58,6.58,74.83,79.89,59.67,45.93,66.67,7.5,36,14,
Florida Atlantic,78.54,73.4,81.75,48.11,67.17,9.54,37.24,16.15,11,12.31,29,7.31,61.15,65.8,58.25,38.99,70.44,5.23,27.98,7.69,
Florida Gulf Coast,73.27,67.86,78,43.76,74.35,9.4,35.34,13.4,10.87,12.07,25.93,6.93,67.27,70.86,64.13,41.76,64.44,7.67,33.53,12.4,
Florida International,73.38,61.6,80.75,47.53,63.89,6.46,29.89,13.31,8.85,16.38,24.54,9.31,75.46,80.6,72.25,44.09,75,9.85,38.21,14.08,
Florida State,68.6,59.83,74.44,42.46,73.78,6.13,34.07,13.07,9.27,12.8,22.93,6.33,74.07,73.5,74.44,43.72,73.59,7.73,34.52,15.07,
